Species,Phylum,Class,Family
Limapontia ,Mollusca,Gastropoda,Limapontia
Eusarsiella zostericola,Arthropoda,Ostracoda,Sarsiellidae
Palaemon adspersus,Arthropoda,Malacostraca,Palaemonidae
Capitellides giardi,Annelida,Polychaeta,Capitella
Cossuridae ,Annelida,Polychaeta,NULL
Cerastoderma ,Mollusca,Bivalvia,Cardiidae
Strigamia maritima,Arthropoda,Chilopoda,Linotaeniidae
Talitridae ,Arthropoda,Malacostraca,Talitridae
Eunice pennata,Annelida,Polychaeta,Eunicidae
Placostegus tridentatus,Annelida,Polychaeta,Serpulidae
Tridonta elliptica,Mollusca,Bivalvia,Astartidae
Tubulipora liliacea,Bryozoa,Stenolaemata,Tubuliporidae
Ischyroceridae ,Arthropoda,Malacostraca,Ischyroceridae
Palaemoninae ,Arthropoda,Malacostraca,Palaemonidae
Tubulanus ,Nemertea,Palaeonemertea,Tubulanus
Anaitides subulifera,Annelida,Polychaeta,Phyllodocidae
Liljeborgia kinahani,Arthropoda,Malacostraca,Liljeborgiidae
Buccinidae ,Mollusca,Gastropoda,Buccinidae
Nicomachinae ,NULL,NULL,NULL
Polycirrinae ,Annelida,Polychaeta,Polycirridae
Crystallogobius linearis,Chordata,Actinopterygii,Gobiidae
Chorda ,Ochrophyta,Phaeophyceae,Chordaceae
Fucus cottonii,Ochrophyta,Phaeophyceae,Fucaceae
Janiridae ,Arthropoda,Malacostraca,Janiridae
Sphaerodoridae ,Annelida,Polychaeta,Sphaerodoridae
Vaunthompsoniinae ,NULL,NULL,NULL
Bougainvillia ,Cnidaria,Hydrozoa,Bougainvilliidae
Dictyosiphon foeniculaceus,Ochrophyta,Phaeophyceae,Chordariaceae
Sphacelaria plumosa,Ochrophyta,Phaeophyceae,Sphacelariaceae
Scruparia chelata,Bryozoa,Gymnolaemata,Scrupariidae
Acanthonotozomatidae ,Arthropoda,Malacostraca,Acanthonotozomatidae
Scolelepis tridentata,Annelida,Polychaeta,Spionidae
Cruoria cruoriaeformis,Rhodophyta,Florideophyceae,Cruoriaceae
Eudendrium ramosum,Cnidaria,Hydrozoa,Eudendriidae
Pseudamussium septemradiatum,Mollusca,Bivalvia,Pectinidae
Smittoidea reticulata,Bryozoa,Gymnolaemata,Smittinidae
Adalaria ,Mollusca,Gastropoda,Onchidorididae
Limatula sulcata,Mollusca,Bivalvia,Limidae
Xanthoria ,Ascomycota,Lecanoromycetes,Teloschistaceae
Zostera noltei,Tracheophyta,Liliopsida,Zosteraceae
Cladophora hutchinsiae,Chlorophyta,Ulvophyceae,Cladophoraceae
Myrtea spinifera,Mollusca,Bivalvia,Lucinidae
Sipuncula ,Sipuncula,NULL,NULL
Nucula sulcata,Mollusca,Bivalvia,Nuculidae
Aonides ,Annelida,Polychaeta,Spionidae
Calliopiidae ,Arthropoda,Malacostraca,Calliopiidae
Cardiidae ,Mollusca,Bivalvia,Cardiidae
Grania maricola,Annelida,Clitellata,Enchytraeidae
Hauchiella tribullata,Annelida,Polychaeta,Terebellidae
Orbiniidae ,Annelida,Polychaeta,NULL
Parvicardium minimum,Mollusca,Bivalvia,Cardiidae
Polygordius appendiculatus,Annelida,Polychaeta,Polygordius
Streptosyllis ,Annelida,Polychaeta,Syllidae
Tridonta montagui,Mollusca,Bivalvia,Astartidae
Photis ,Arthropoda,Malacostraca,Photidae
Aglaophamus ,Annelida,Polychaeta,Nephtyidae
Nephtys hystricis,Annelida,Polychaeta,Nephtyidae
Nicomache ,Annelida,Polychaeta,Nicomache
Sphaerosyllis ovigera,Annelida,Polychaeta,Syllidae
Tanaidacea ,Arthropoda,Malacostraca,NULL
Pherusa ,Annelida,Polychaeta,Flabelligeridae
Praxillella ,Annelida,Polychaeta,Praxillella
Syngnathus ,Chordata,Actinopterygii,Syngnathidae
Leptosynapta bergensis,Echinodermata,Holothuroidea,Synaptidae
Porphyra miniata,Rhodophyta,Bangiophyceae,Bangiaceae
Halopithys incurva,Rhodophyta,Florideophyceae,Rhodomelaceae
Polynoe scolopendrina,Annelida,Polychaeta,Polynoidae
Spionida ,Annelida,Polychaeta,NULL
Chorda tomentosa,Ochrophyta,Phaeophyceae,Halosiphonaceae
Gammarellus ,Arthropoda,Malacostraca,Gammarellidae
Siriella jaltensis,Arthropoda,Malacostraca,Mysidae
Ceramiales ,Rhodophyta,Florideophyceae,NULL
Procerodes ,Platyhelminthes,Tricladida,Procerodes
Reteporella beaniana,Bryozoa,Gymnolaemata,Phidoloporidae
Caberea ellisii,Bryozoa,Gymnolaemata,Candidae
Clava ,Cnidaria,Hydrozoa,Hydractiniidae
Gonactinia prolifera,Cnidaria,Anthozoa,Gonactiniidae
Kirchenpaueria similis,Cnidaria,Hydrozoa,Kirchenpaueriidae
Polymastia agglutinans,Porifera,Demospongiae,Polymastiidae
Bugula purpurotincta,Bryozoa,Gymnolaemata,Bugulidae
Clathria barleei,Porifera,Demospongiae,Microcionidae
Dendrobeania murrayana,Bryozoa,Gymnolaemata,Bugulidae
Halecium plumosum,Cnidaria,Hydrozoa,Haleciidae
Raniceps raninus,Chordata,Actinopterygii,Gadidae
Cutleria ,Ochrophyta,Phaeophyceae,Cutleriaceae
Protomystides ,Annelida,Polychaeta,Phyllodocidae
Prionospio ,Annelida,Polychaeta,Spionidae
Holothuria ,Echinodermata,Holothuroidea,Holothuriidae
Syllis amica,Annelida,Polychaeta,Syllidae
Pista lornensis,Annelida,Polychaeta,Terebellidae
Ralfsia verrucosa,Ochrophyta,Bacillariophyceae,Ralfsia verrucosa
Plocamionida ambigua,Porifera,Demospongiae,Hymedesmiidae
Nephtyidae ,Annelida,Polychaeta,Nephtyidae
Littorininae ,Mollusca,Gastropoda,Littorinidae
Lepadogaster candollei,Chordata,Actinopterygii,Gobiesocidae
Mangelia nebula,Mollusca,Gastropoda,Mangeliidae
Molgula citrina,Chordata,Ascidiacea,Molgulidae
Molgula complanata,Chordata,Ascidiacea,Molgulidae
Ocnus lacteus,Echinodermata,Holothuroidea,Cucumariidae
Endectyon delaubenfelsi,Porifera,Demospongiae,Raspailiidae
Tritonia ,Mollusca,Gastropoda,Tritoniidae
Lutraria angustior,Mollusca,Bivalvia,Mactridae
Tigriopus fulvus,Arthropoda,Hexanauplia,Harpacticidae
Diptera ,Arthropoda,Insecta,NULL
Hydrobia ,Mollusca,Gastropoda,Hydrobiidae
Praunus ,Arthropoda,Malacostraca,Mysidae
Chara aspera,Charophyta,Charophyceae,Characeae
Pycnoclavella ,Chordata,Ascidiacea,Clavelinidae
Scyliorhinus stellaris,Chordata,Elasmobranchii,Scyliorhinidae
Myriocladia ,Ochrophyta,Phaeophyceae,Chordariaceae
Apistobranchus ,Annelida,Polychaeta,Apistobranchidae
Araphura brevimana,Arthropoda,Malacostraca,Tanaellidae
Arcturidae ,Arthropoda,Malacostraca,Arcturidae
Aricidea wassi,Annelida,Polychaeta,Aricidea
Aricidea laubieri,Annelida,Polychaeta,Aricidea
Campylaspis ,Arthropoda,Malacostraca,Nannastacidae
Cirrophorus furcatus,Annelida,Polychaeta,Cirrophorus
Clymenella ,Annelida,Polychaeta,Clymenella
Edwardsiidae ,Cnidaria,Anthozoa,Edwardsiidae
Eriopisa elongata,Arthropoda,Malacostraca,Eriopisidae
Eumida ockelmanni,Annelida,Polychaeta,Phyllodocidae
Harmothoe glabra,Annelida,Polychaeta,Polynoidae
Loimia ,Annelida,Polychaeta,Terebellidae
Mangelia brachystoma,Mollusca,Gastropoda,Mangeliidae
Megastomia conoidea,Mollusca,Gastropoda,Megastomia
Ophelina modesta,Annelida,Polychaeta,Ophelina
Paramphilochoides ,Arthropoda,Malacostraca,Amphilochidae
Peresiella clymenoides,Annelida,Polychaeta,Peresiella
Processa nouveli,Arthropoda,Malacostraca,Processidae
Pseudarachna hirsuta,Arthropoda,Malacostraca,Munnopsidae
Pulsellum lofotense,Mollusca,Scaphopoda,Pulsellidae
Similipecten similis,Mollusca,Bivalvia,Propeamussiidae
Streblosoma intestinalis,Annelida,Polychaeta,Terebellidae
Trichobranchus roseus,Annelida,Polychaeta,Trichobranchidae
Upogebia ,Arthropoda,Malacostraca,Upogebiidae
Vitreolina philippi,Mollusca,Gastropoda,Eulimidae
Aglaophamus rubella,Annelida,Polychaeta,Nephtyidae
Ampharete falcata,Annelida,Polychaeta,Ampharetidae
Anaitides lineata,Annelida,Polychaeta,Phyllodocidae
Levinsenia ,Annelida,Polychaeta,Levinsenia
Lumbrineris scopa,Annelida,Polychaeta,Lumbrineridae
Polinices fuscus,Mollusca,Gastropoda,Naticidae
Scolelepis parascolelepis,Annelida,Polychaeta,Spionidae
Ancistrosyllis groenlandica,Annelida,Polychaeta,Pilargidae
Echiuridae ,Annelida,Polychaeta,Echiuridae
Gyptis rosea,Annelida,Polychaeta,Hesionidae
Mystides ,Annelida,Polychaeta,Phyllodocidae
Atherospio disticha,Annelida,Polychaeta,Spionidae
Pseudopolydora paucibranchiata,Annelida,Polychaeta,Spionidae
Amphicteis gunneri,Annelida,Polychaeta,Ampharetidae
Arabella iricolor,Annelida,Polychaeta,Oenonidae
Bodotria ,Arthropoda,Malacostraca,Bodotriidae
Callianassa ,Arthropoda,Malacostraca,Callianassidae
Aricidea simonae,Annelida,Polychaeta,Aricidea
Blidingia ,Chlorophyta,Ulvophyceae,Kornmanniaceae
Epizoanthus ,Cnidaria,Anthozoa,Epizoanthidae
Ophiothrix ,Echinodermata,Ophiuroidea,Ophiotrichidae
Crimora papillata,Mollusca,Gastropoda,Polyceridae
Euspira catena,Mollusca,Gastropoda,Naticidae
Gammarus finmarchicus,Arthropoda,Malacostraca,Gammaridae
Eurydice ,Arthropoda,Malacostraca,Cirolanidae
Iophonopsis nigricans,Porifera,Demospongiae,Acarnidae
Rostanga rubra,Mollusca,Gastropoda,Discodorididae
Chondrus ,Mollusca,Gastropoda,Enidae
Lanceola ,Arthropoda,Malacostraca,Lanceolidae
Eurypon ,Porifera,Demospongiae,Raspailiidae
Arcopagia crassa,Mollusca,Bivalvia,Tellinidae
Philine intricata,Mollusca,Gastropoda,Philinidae
Amphiura securigera,Echinodermata,Ophiuroidea,Amphiuridae
Simnia patula,Mollusca,Gastropoda,Ovulidae
Pterothamnion crispum,Rhodophyta,Florideophyceae,Ceramiaceae
Eurynome ,Arthropoda,Malacostraca,Majidae
Ophelia bicornis,Annelida,Polychaeta,Ophelia
Asbestopluma ,Porifera,Demospongiae,Cladorhizidae
Synoicum incrustatum,Chordata,Ascidiacea,Polyclinidae
Aglaothamnion ,Rhodophyta,Florideophyceae,Callithamniaceae
Eunice ,Annelida,Polychaeta,Eunicidae
Urothoe ,Arthropoda,Malacostraca,Urothoidae
Tanaissus lilljeborgi,Arthropoda,Malacostraca,Tanaissuidae
Cyclostomata ,Mollusca,Gastropoda,NULL
Haliclona angulata,Porifera,Demospongiae,Chalinidae
Microciona armata,Porifera,Demospongiae,Microcionidae
Schizoporella longirostris,Bryozoa,Gymnolaemata,Schizoporellidae
Clavelina ,Chordata,Ascidiacea,Clavelinidae
Erythroglossum ,Rhodophyta,Florideophyceae,Delesseriaceae
Eurypon major,Porifera,Demospongiae,Raspailiidae
Enteromorpha torta,Chlorophyta,Ulvophyceae,Ulvaceae
Lithophyllum orbiculatum,Rhodophyta,Florideophyceae,Corallinaceae
Sphacelaria rigidula,Ochrophyta,Phaeophyceae,Sphacelariaceae
Stragularia clavata,Ochrophyta,Phaeophyceae,Scytosiphonaceae
Urospora wormskioldii,Chlorophyta,Ulvophyceae,Ulotrichaceae
Maxmuelleria lankesteri,Annelida,Polychaeta,Bonelliidae
Holothurioidea ,Echinodermata,Holothuroidea,NULL
Gigartina pistillata,Rhodophyta,Florideophyceae,Gigartinaceae
Unciola crenatipalma,Arthropoda,Malacostraca,Unciolidae
Marenzelleria wireni,Annelida,Polychaeta,Spionidae
Lampetra fluviatilis,Chordata,Cephalaspidomorphi,Petromyzontidae
Tubifex tubifex,Annelida,Clitellata,Naididae
Monostroma grevillei,Chlorophyta,Ulvophyceae,Monostromataceae
Waerniella lucifuga,Ochrophyta,Phaeophyceae,Ectocarpaceae
Littorina neritrema,Mollusca,Gastropoda,Littorinidae
Pontophilus norvegicus,Arthropoda,Malacostraca,Crangonidae
Cladosiphon ,Ochrophyta,Phaeophyceae,Chordariaceae
Walkeria uva,Bryozoa,Gymnolaemata,Walkeriidae
Bugula avicularia,Bryozoa,Gymnolaemata,Bugulidae
Phycodrys ,Rhodophyta,Florideophyceae,Delesseriaceae
Spirontocaris spinus,Arthropoda,Malacostraca,Hippolytidae
Polysiphonia violacea,Rhodophyta,Florideophyceae,Rhodomelaceae
Pyura squamulosa,Chordata,Ascidiacea,Pyuridae
Blenniidae ,Chordata,Actinopterygii,Blenniidae
Demonax ,Arthropoda,Insecta,Cerambycidae
Hyalinoecia tubicola,Annelida,Polychaeta,Onuphidae
Callionymus ,Chordata,Actinopterygii,Callionymidae
Synchelidium ,Arthropoda,Malacostraca,Oedicerotidae
Achelia laevis,Arthropoda,Pycnogonida,Ammotheidae
Lutraria magna,Mollusca,Bivalvia,Mactridae
Potamilla ,Annelida,Polychaeta,Sabellidae
Rhodine ,Annelida,Polychaeta,Rhodine
Typosyllis variegata,Annelida,Polychaeta,Syllidae
Rhaphidostyla kitchingi,Porifera,Demospongiae,Halichondriidae
Echinogammarus ,Arthropoda,Malacostraca,Gammaridae
Procerodes plebeia,Platyhelminthes,Tricladida,Procerodes
Talitrus saltator,Arthropoda,Malacostraca,Talitridae
Apherusa ,Arthropoda,Malacostraca,Calliopiidae
Cheirocratus sundevallii,Arthropoda,Malacostraca,Cheirocratidae
Hiatellacea ,Tracheophyta,Magnoliopsida,Chrysobalanaceae
Iphinoe ,Arthropoda,Malacostraca,Bodotriidae
Trisopterus ,Chordata,Actinopterygii,Gadidae
Catriona gymnota,Mollusca,Gastropoda,Trinchesiidae
Lesueurigobius friesii,Chordata,Actinopterygii,Gobiidae
Polysiphonia insidiosa,Rhodophyta,Florideophyceae,Rhodomelaceae
Ophryotrocha hartmanni,Annelida,Polychaeta,Dorvilleidae
Tridentata distans,Cnidaria,Hydrozoa,Sertulariidae
Nucula ,Mollusca,Bivalvia,Nuculidae
Protodriloides chaetifer,Annelida,Polychaeta,Protodriloides
Laevicardium crassum,Mollusca,Bivalvia,Cardiidae
Eulalia mustela,Annelida,Polychaeta,Phyllodocidae
Solasteridae ,Echinodermata,Asteroidea,Solasteridae
Hesionidae ,Annelida,Polychaeta,Hesionidae
Caryophyllia inornata,Cnidaria,Anthozoa,Caryophylliidae
Colpodaspis pusilla,Mollusca,Gastropoda,Colpodaspididae
Grateloupia doryphora,Rhodophyta,Florideophyceae,Halymeniaceae
Gaidropsarus vulgaris,Chordata,Actinopterygii,Lotidae
Callipallene phantoma,Arthropoda,Pycnogonida,Callipallenidae
Raja brachyura,Chordata,Elasmobranchii,Rajidae
Ebalia tumefacta,Arthropoda,Malacostraca,Leucosiidae
Anthura gracilis,Arthropoda,Malacostraca,Anthuridae
Armandia polyophthalma,Annelida,Polychaeta,Armandia
Lysidice ninetta,Annelida,Polychaeta,Eunicidae
Hildenbrandia crouaniorum,Rhodophyta,Florideophyceae,Hildenbrandiaceae
Hydrolithon ,Rhodophyta,Florideophyceae,Corallinaceae
Tripterygion delaisi,Chordata,Actinopterygii,Tripterygiidae
Gammarella fucicola,Arthropoda,Malacostraca,Nuuanuidae
Gnathia oxyuraea,Arthropoda,Malacostraca,Gnathiidae
Naididae ,Annelida,Clitellata,Naididae
Callipallene ,Arthropoda,Pycnogonida,Callipallenidae
Lysianassa ceratina,Arthropoda,Malacostraca,Lysianassidae
Polycirrus plumosus,Annelida,Polychaeta,Terebellidae
Goniada ,Annelida,Polychaeta,Goniadidae
Gnathiidae ,Arthropoda,Malacostraca,Gnathiidae
Leptocheirus pilosus,Arthropoda,Malacostraca,Corophiidae
Anaitides longipes,Annelida,Polychaeta,Phyllodocidae
Astacilla ,Arthropoda,Malacostraca,Arcturidae
Epitonium clathrus,Mollusca,Gastropoda,Epitonium
Cellaria salicornioides,Bryozoa,Gymnolaemata,Cellariidae
Marphysa bellii,Annelida,Polychaeta,Eunicidae
Styelidae ,Chordata,Ascidiacea,Styelidae
Lichina ,Ascomycota,Lichinomycetes,Lichinaceae
Actinia ,Cnidaria,Anthozoa,Actiniidae
Octopus vulgaris,Mollusca,Cephalopoda,Octopodidae
Idotea emarginata,Arthropoda,Malacostraca,Idoteidae
Flabellina pellucida,Mollusca,Gastropoda,Flabellinidae
Oerstedia dorsalis,Nemertea,Hoplonemertea,Oerstediidae
Sertulariidae ,Cnidaria,Hydrozoa,Sertulariidae
Cuthona rubescens,Mollusca,Gastropoda,Trinchesiidae
Janolus hyalinus,Mollusca,Gastropoda,Proctonotidae
Orthopyxis integra,Cnidaria,Hydrozoa,Campanulariidae
Porcellio scaber,Arthropoda,Malacostraca,Porcellionidae
Muggiaea atlantica,Cnidaria,Hydrozoa,Diphyidae
Nicomache personata,Annelida,Polychaeta,Nicomache
Oligocladus sanguinolentus,Platyhelminthes,Polycladida,Oligocladus
Philine quadrata,Mollusca,Gastropoda,Laonidae
Physalia physalis,Cnidaria,Hydrozoa,Physaliidae
Spondyliosoma cantharus,Chordata,Actinopterygii,Sparidae
Amphiporus lactifloreus,Nemertea,Hoplonemertea,Amphiporidae
Congericola pallidus,Arthropoda,Hexanauplia,Hatschekiidae
Cycloporus papillosus,Platyhelminthes,Polycladida,Cycloporus
Geitodoris planata,Mollusca,Gastropoda,Discodorididae
Hemiarthrus abdominalis,Arthropoda,Malacostraca,Bopyridae
Modiolus adriaticus,Mollusca,Bivalvia,Mytilidae
Modiolus barbatus,Mollusca,Bivalvia,Mytilidae
Pachypygus gibber,Arthropoda,Hexanauplia,Notodelphyidae
Polycirrus aurantiacus,Annelida,Polychaeta,Terebellidae
Polycirrus denticulatus,Annelida,Polychaeta,Terebellidae
Polydora hoplura,Annelida,Polychaeta,Spionidae
Protodriloides symbioticus,Annelida,Polychaeta,Protodriloides
Psiloteredo megotara,Mollusca,Bivalvia,Teredinidae
Stomatoporina incurvata,Bryozoa,Stenolaemata,Stomatoporidae
Brama brama,Chordata,Actinopterygii,Bramidae
Adalaria proxima,Mollusca,Gastropoda,Onchidorididae
Ancula gibbosa,Mollusca,Gastropoda,Goniodorididae
Athanus nitescens,Arthropoda,Malacostraca,Alpheidae
Caridion steveni,Arthropoda,Malacostraca,Hippolytidae
Enchytraeus albidus,Annelida,Clitellata,Enchytraeidae
Favorinus branchialis,Mollusca,Gastropoda,Facelinidae
Hyale perieri,Arthropoda,Malacostraca,Hyalidae
Leptoplana tremellaris,Platyhelminthes,Polycladida,Leptoplana
Lineus bilineatus,Nemertea,Pilidiophora,Lineidae
Lumbricillus lineatus,Annelida,Clitellata,Enchytraeidae
Lumbricillus semifuscus,Annelida,Clitellata,Enchytraeidae
Moerella donacina,Mollusca,Bivalvia,Tellinidae
Nipponnemertes pulcher,Nemertea,Hoplonemertea,Cratenemertidae
Philoceras fasciatus,Arthropoda,Malacostraca,Crangonidae
Phyllodoce lamelligera,Annelida,Polychaeta,Phyllodocidae
Protodrilus flavocapitatus,Annelida,Polychaeta,Lindrilus
Protoglossus koehleri,Hemichordata,Enteropneusta,Protoglossus
Rhizostoma octopus,Cnidaria,Scyphozoa,Rhizostomatidae
Sauvageaugloia griffithsiana,Ochrophyta,Phaeophyceae,Chordariaceae
Scypha coronata,Porifera,Calcarea,Sycettidae
Trilobodrilus heideri,Annelida,Polychaeta,Dinophilidae
Venus verrucosa,Mollusca,Bivalvia,Veneridae
Alloteuthis subulata,Mollusca,Cephalopoda,Loliginidae
Torpedo nobiliana,Chordata,Elasmobranchii,Torpedinidae
Amphiporus hastatus,Nemertea,Hoplonemertea,Amphiporidae
Martesia striata,Mollusca,Bivalvia,Pholadidae
Athelges paguri,Arthropoda,Malacostraca,Bopyridae
Chrysaora hysoscella,Cnidaria,Scyphozoa,Pelagiidae
Drepanorchis neglecta,Arthropoda,Maxillopoda,Sacculinidae
Eutima gracilis,Cnidaria,Hydrozoa,Eirenidae
Halectinosoma curticorne,Arthropoda,Hexanauplia,Ectinosomatidae
Halectinosoma neglectum,Arthropoda,Hexanauplia,Ectinosomatidae
Harmothoe marphysae,Annelida,Polychaeta,Polynoidae
Harpacticus flexus,Arthropoda,Hexanauplia,Harpacticidae
Harpacticus gracilis,Arthropoda,Hexanauplia,Harpacticidae
Hemioniscus balani,Arthropoda,Malacostraca,Hemioniscidae
Itunella muelleri,Arthropoda,Hexanauplia,Canthocamptidae
Lumbricillus pagenstecheri,Annelida,Clitellata,Enchytraeidae
Lumbricillus reynoldsoni,Annelida,Clitellata,Enchytraeidae
Microthalestris littoralis,Arthropoda,Hexanauplia,Parastenheliidae
Mysta picta,Annelida,Polychaeta,Phyllodocidae
Myzostomum cirriferum,Annelida,Polychaeta,Myzostomatidae
Peltogaster paguri,Arthropoda,Maxillopoda,Peltogastridae
Procerodes littoralis,Platyhelminthes,Tricladida,Procerodes
Semicytherura nigrescens,Arthropoda,Ostracoda,Cytheruridae
Trypetesa lampas,Arthropoda,Maxillopoda,Trypetesidae
Clupea harengus,Chordata,Actinopterygii,Clupeidae
Aegires punctilucens,Mollusca,Gastropoda,Aegiridae
Aplidium proliferum,Chordata,Ascidiacea,Polyclinidae
Bimeria vestita,Cnidaria,Hydrozoa,Bougainvilliidae
Caprella fretensis,Arthropoda,Malacostraca,Caprellidae
Coryne pusilla,Cnidaria,Hydrozoa,Corynidae
Dinophilus taeniatus,Annelida,Polychaeta,Dinophilidae
Embletonia pulchra,Mollusca,Gastropoda,Embletoniidae
Emplectonema gracile,Nemertea,Hoplonemertea,Emplectonematidae
Enterocola ,Arthropoda,Hexanauplia,Enteropsidae
Facelina annulicornis,Mollusca,Gastropoda,Facelinidae
Fiona pinnata,Mollusca,Gastropoda,Fionidae
Fridericia ,Tracheophyta,Magnoliopsida,Bignoniaceae
Gwynia capsula,Brachiopoda,Rhynchonellata,Megathyrididae
Halcampa chrysanthellum,Cnidaria,Anthozoa,Halcampidae
Haliclona indistincta,Porifera,Demospongiae,Chalinidae
Halisarca metschikovi,Porifera,Demospongiae,Halisarcidae
Harmothoe castanea,Annelida,Polychaeta,Polynoidae
Harveyella mirabilis,Rhodophyta,Florideophyceae,Rhodomelaceae
Heteromysis formosa,Arthropoda,Malacostraca,Mysidae
Holmsella pachyderma,Rhodophyta,Florideophyceae,Pterocladiophilaceae
Hymedesmia pansa,Porifera,Demospongiae,Hymedesmiidae
Iphimedia obesa,Arthropoda,Malacostraca,Iphimediidae
Longipedia coronata,Arthropoda,Hexanauplia,Longipediidae
Longipedia minor,Arthropoda,Hexanauplia,Longipediidae
Longipedia scotti,Arthropoda,Hexanauplia,Longipediidae
Lumbricillus scoticus,Annelida,Clitellata,Enchytraeidae
Microciona laevis,Porifera,Demospongiae,Microcionidae
Onchidoris pusilla,Mollusca,Gastropoda,Onchidorididae
Phyllothalestris mysis,Arthropoda,Hexanauplia,Thalestridae
Pleurocrypta galatheae,Arthropoda,Malacostraca,Bopyridae
Plocamilla coriacea,Porifera,Demospongiae,Microcionidae
Proclymene muelleri,Annelida,Polychaeta,Proclymene
Sacculina inflata,Arthropoda,Maxillopoda,Sacculinidae
Stylostomum ellipse,Platyhelminthes,Polycladida,Stylostomum
Tetrastemma candidum,Nemertea,Hoplonemertea,Tetrastemmatidae
Tetrastemma vermiculus,Nemertea,Hoplonemertea,Tetrastemmatidae
Thalestris longimana,Arthropoda,Hexanauplia,Thalestridae
Thalestris rufoviolascens,Arthropoda,Hexanauplia,Thalestridae
Thracia pubescens,Mollusca,Bivalvia,Thracia
Ute ensata,Porifera,Calcarea,Grantiidae
Autolytus aurantiacus,Annelida,Polychaeta,Syllidae
Barnea parva,Mollusca,Bivalvia,Pholadidae
Brania limbata,Annelida,Polychaeta,Syllidae
Caligus ,Arthropoda,Hexanauplia,Caligidae
Cephalothrix rufifrons,Nemertea,Palaeonemertea,Cephalothrix
Chelura terebrans,Arthropoda,Malacostraca,Cheluridae
Clavella ,Arthropoda,Hexanauplia,Lernaeopodidae
Dasyatis pastinaca,Chordata,Elasmobranchii,Dasyatidae
Ectocarpus fasciculatus,Ochrophyta,Phaeophyceae,Ectocarpaceae
Euterpina acutifrons,Arthropoda,Hexanauplia,Tachidiidae
Gossea corynetes,Cnidaria,Hydrozoa,Olindiidae
Halichondria topsenti,Porifera,Demospongiae,Halichondriidae
Harmothoe maxillospinosa,Annelida,Polychaeta,Polynoidae
Jaxea nocturna,Arthropoda,Malacostraca,Laomediidae
Laodicea undulata,Cnidaria,Hydrozoa,Laodiceidae
Laomedea angulata,Cnidaria,Hydrozoa,Campanulariidae
Laomedea neglecta,Cnidaria,Hydrozoa,Campanulariidae
Laxosuberites ,Porifera,Demospongiae,Suberitidae
Manayunkia ,Annelida,Polychaeta,Fabriciidae
Myrionema ,Ochrophyta,Phaeophyceae,Chordariaceae
Neanthes fucata,Annelida,Polychaeta,Nereididae
Nerilla antennata,Annelida,Polychaeta,Nerilla
Nothria britannica,Annelida,Polychaeta,Onuphidae
Notophyllum foliosum,Annelida,Polychaeta,Phyllodocidae
Obelia plicata,Cnidaria,Hydrozoa,Campanulariidae
Odostomia ,Mollusca,Gastropoda,Odostomia
Oithona nana,Arthropoda,Hexanauplia,Oithonidae
Ophryotrocha puerilis,Annelida,Polychaeta,Dorvilleidae
Pagellus ,Chordata,Actinopterygii,Sparidae
Paracucumaria hyndmani,Echinodermata,Holothuroidea,Cucumariidae
Phialella quadrata,Cnidaria,Hydrozoa,Phialellidae
Pirakia punctifera,Annelida,Polychaeta,Phyllodocidae
Podon intermedius,Arthropoda,Branchiopoda,Podonidae
Polycarpa violacea,Chordata,Ascidiacea,Styelidae
Rhopalomenia aglaopheniae,Mollusca,Solenogastres,Rhopalomeniidae
Sphaerosyllis pirifera,Annelida,Polychaeta,Syllidae
Squatina squatina,Chordata,Elasmobranchii,Squatinidae
Stictyosiphon tortilis,Ochrophyta,Phaeophyceae,Chordariaceae
Tryphosella sarsi,Arthropoda,Malacostraca,Tryphosidae
Verrucaria striatula,Ascomycota,Eurotiomycetes,Verrucariaceae
Alopias vulpinus,Chordata,Elasmobranchii,Alopiidae
Alosa fallax,Chordata,Actinopterygii,Clupeidae
Amblyraja radiata,Chordata,Elasmobranchii,Rajidae
Atherina presbyter,Chordata,Actinopterygii,Atherinidae
Engraulis encrasicolus,Chordata,Actinopterygii,Engraulidae
Gobius paganellus,Chordata,Actinopterygii,Gobiidae
Hyperoplus lanceolatus,Chordata,Actinopterygii,Ammodytidae
Lamna nasus,Chordata,Elasmobranchii,Lamnidae
Mustelus mustelus,Chordata,Elasmobranchii,Triakidae
Raja undulata,Chordata,Elasmobranchii,Rajidae
Salmo salar,Chordata,Actinopterygii,Salmonidae
Sardina pilchardus,Chordata,Actinopterygii,Clupeidae
Aequorea vitrina,Cnidaria,Hydrozoa,Aequoreidae
Chondria tenuissima,Rhodophyta,Florideophyceae,Rhodomelaceae
Dasya ocellata,Rhodophyta,Florideophyceae,Dasyaceae
Lernaeocera branchialis,Arthropoda,Hexanauplia,Pennellidae
Orchestia ,Arthropoda,Malacostraca,Talitridae
Dactylopusia neglecta,Arthropoda,Hexanauplia,Dactylopusiidae
Dactylopusia vulgaris,Arthropoda,Hexanauplia,Dactylopusiidae
Ectinosoma melaniceps,Arthropoda,Hexanauplia,Ectinosomatidae
Desmosomatidae ,Arthropoda,Malacostraca,Desmosomatidae
Ephesiella abyssorum,Annelida,Polychaeta,Sphaerodoridae
Euphrosine foliosa,Annelida,Polychaeta,Euphrosinidae
Glycera gigantea,Annelida,Polychaeta,Glyceridae
Goniadella gracilis,Annelida,Polychaeta,Goniadidae
