REALM,taxa_mod,Species_orig,Genus,species,mass_g,length_cm,source,notes,name_data_entry,date_searched
Marine,All,Lepidorhombus_whiffiagonis,,,,,,,,
Marine,All,Lepidotrigla_cavillone,,,,,,,,
Marine,All,Lepidotrigla_dieuzeidei,,,,,,,,
Marine,All,Lepisosteus_platyrhinchus,,,,,,,,
Marine,All,Lepisosteus_platyrhincus,,,,,,,,
Marine,All,Lepomis_gulosus,,,,,,,,
Marine,All,Lepomis_macrochirus,,,,,,,,
Marine,All,Lepomis_marginatus,,,,,,,,
Marine,All,Lepomis_microlophus,,,,,,,,
Marine,All,Lepomis_punctatus,,,,,,,,
Marine,All,Lepomis_sp,,,,,,,,
Marine,All,Lesuerigobius_suerii,,,,,,,,
Marine,All,Lethocerus_sp,,,,,,,,
Marine,All,Leucilla_nuttingi,,,,,,,,
Marine,All,Libellula_needhami,,,,,,,,
Marine,All,Lissa_chiraga,,,,,,,,
Marine,All,Lissothuria_nutriens,,,,,,,,
Marine,All,Lithognathus_mormyrus,,,,,,,,
Marine,All,Lithothrix_sp,,,,,,,,
Marine,All,Littoridinops_monroensis,,,,,,,,
Marine,All,Liza_aurata,,,,,,,,
Marine,All,Liza_ramada,,,,,,,,
Marine,All,Loligo_sp,,,,,,,,
Marine,All,Loligo_vulgaris,,,,,,,,
Marine,All,Lophius_budegassa,,,,,,,,
Marine,All,Lophogorgia_chilensis,,,,,,,,
Marine,All,Lucania_goodei,,,,,,,,
Marine,All,Lucania_parva,,,,,,,,
Marine,All,Macrocystis_pyrifera,,,,,,,,
Marine,All,Macroramphosus_scolopax,,,,,,,,
Marine,All,Macrorhamphosus_scolopax,,,,,,,,
Marine,All,Marsupenaeus_japonicus,,,,,,,,
Marine,All,Medorippe_lanata,,,,,,,,
Marine,All,Melanoides_tuberculata,,,,,,,,
Marine,All,Menidia_beryllina,,,,,,,,
Marine,All,Merluccius_merluccius,,,,,,,,
Marine,All,Metapenaeopsys_aegyptia,,,,,,,,
Marine,All,Metapenaeus_monoceros,,,,,,,,
Marine,All,Metridium_senile,,,,,,,,
Marine,All,Microchirus_ocellatus,,,,,,,,
Marine,All,Microchirus_variegatus,,,,,,,,
Marine,All,Micropterus_salmoides,,,,,,,,
Marine,All,Mikania_scandens,,,,,,,,
Marine,All,Monochirus_hispidus,,,,,,,,
Marine,All,Mugil_cephalus,,,,,,,,
Marine,All,Mullus_barbatus,,,,,,,,
Marine,All,Mullus_surmuletus,,,,,,,,
Marine,All,Muraena_helena,,,,,,,,
Marine,All,Muraenesox_cinereus,,,,,,,,
Marine,All,Murex_tribulus,,,,,,,,
Marine,All,Muricea_californica,,,,,,,,
Marine,All,Mustelus_mustelus,,,,,,,,
Marine,All,Myliobatis_aquila,,,,,,,,
Marine,All,Myra_subgranulata,,,,,,,,
Marine,All,Mytilus_californianus,,,,,,,,
Marine,All,Nemipterus_randalli,,,,,,,,
Marine,All,Neoagardhiella_baileyi,,,,,,,,
Marine,All,Neoptilota Ptilota Rhodoptilum Pterosiphonia_sp,,,,,,,,
Marine,All,Nerodia_sp,,,,,,,,
Marine,All,Notemigonus_crysoleucas,,,,,,,,
Marine,All,Notophthalmus_viridescens,,,,,,,,
Marine,All,Notropis_maculatus,,,,,,,,
Marine,All,Notropis_petersoni,,,,,,,,
Marine,All,Noturus_gyrinus,,,,,,,,
Marine,All,Nymphaea_odorata,,,,,,,,
Marine,All,Nymphoides_aquatica,,,,,,,,
Marine,All,Obelia_sp,,,,,,,,
Marine,All,Oblada_melanura,,,,,,,,
Marine,All,Octopus_sp,,,,,,,,
Marine,All,Odontomyia_sp,,,,,,,,
Marine,All,Oligochaeta_NA,,,,,,,,
Marine,All,Ophidion_barbatum,,,,,,,,
Marine,All,Ophiodon_barbatum,,,,,,,,
Marine,All,Ophiura_(ophiura?),,,,,,,,
Marine,All,Oreochromis_aureus,,,,,,,,
Marine,All,Osmundea_spectabilis,,,,,,,,
Marine,All,Oxypolis_filiformis,,,,,,,,
Marine,All,Oxyuirichthys_petersi,,,,,,,,
Marine,All,Pachycerianthus_fimbratus,,,,,,,,
Marine,All,Pachydiplax_longipennis,,,,,,,,
Marine,All,Pachythyone_rubra,,,,,,,,
Marine,All,Pagellus_acarne,,,,,,,,
Marine,All,Pagellus_bogaraveo,,,,,,,,
Marine,All,Pagellus_erythrinus,,,,,,,,
Marine,All,Pagellus_sp,,,,,,,,
Marine,All,Pagrus_auriga,,,,,,,,
